source_tile,error_type,mean_r,mean_g,mean_b,area_m2,elongation,solidity
image,dark_object,35.974233128834356,61.45276073619632,44.94723926380368,16.32395074808378,4.740932641683175,0.9035476718264347
image,dark_object,39.857142857142854,63.952834467120184,59.16598639455783,44.164799262698175,2.5207995677047683,0.9526895657725019
image,other,109.35429769392033,116.96016771488469,113.49895178197065,9.554017799278343,2.0297397771433094,0.9289191821062502
image,other,76.19070667957405,83.64472410454985,74.24491771539206,20.69035720578313,1.0282685511926155,0.9582560296866995
image,other,100.89662598707825,118.95692749461594,128.28930366116296,27.900936678936684,1.0425531916115007,0.9431279620809638
image,other,98.87065779748707,114.85513673318552,120.68588322246859,27.099761182197888,1.0121580548656681,0.9418726070189694
image,other,138.66104078762308,157.66104078762308,163.73980309423348,28.481788912776487,3.0614617932513504,0.95436241606975
image,other,203.21878906947668,90.92266476156456,80.50044650830506,112.14454016696808,1.2253521127083655,0.9692720505613661
image,other,110.39541213063764,78.39541213063764,69.26321928460342,51.51558444554112,2.3187500000334174,0.8154724159877074
image,dark_object,52.73543233082707,62.586936090225564,58.92481203007519,42.62253642998411,3.956879845721933,0.9428444838103776
image,other,87.00595533498759,103.4347394540943,108.81885856079404,40.359215649424144,1.0212765959115049,0.9565630191866478
image,other,109.8319587628866,122.16494845360825,117.77972508591066,58.285517394445435,1.2999999999703873,0.9550377420348003
image,other,126.28057107386716,128.35350713842334,117.06703910614524,64.53468626912016,1.4185303512679435,0.9430703936832524
image,other,53.9778972520908,74.92234169653524,68.3626045400239,33.52919454150273,2.600000000098709,0.8349127182035152
image,blue_object,29.381642512077295,77.21739130434783,87.5048309178744,8.292166391808458,1.7275064264921436,0.8846153845692806
image,other,138.47644209599295,134.8573315719947,116.4733597534126,45.48673883300755,1.6428571428403556,0.9288343558342301
image,blue_object,75.12049335863378,110.5100806451613,149.80781546489564,337.7755894612875,1.6793717678044862,0.9733348724497283
image,other,73.1294498381877,87.79773462783172,89.60032362459548,12.378161426570212,2.2700421936214736,0.9162342475504455
image,dark_object,47.491185410334346,65.44741641337386,63.496048632218844,32.94834230690505,3.8181818182497995,0.9575087311104071
image,other,103.11104847801579,115.36245772266065,111.70687711386697,71.06426656818232,1.0468750001104534,0.9303789170074857
image,blue_object,96.7465025181869,115.01776720761052,131.2753217683268,143.17006128535107,1.358974359020328,0.9595274850620523
image,other,100.53971650173844,109.31398769724525,104.45573682802889,74.88987955910719,2.111111111334527,0.9576130106349278
image,elongated,97.32555879494655,107.1872367994817,105.10495626822157,123.66143793419069,4.9130434785797465,0.9554317549324642
image,other,158.77626459143968,177.79961089494162,184.09338521400778,10.295105134495731,2.800000000833544,0.9457221711130973
image,dark_object,57.04524469067405,64.79593721144968,57.31671283471837,21.691826577324466,2.358333333601356,0.9089383130339623
image,dark_object,43.370370370370374,62.787962962962965,59.617592592592594,21.631738413397592,3.0319999990461795,0.9246575342498116
image,other,103.29897785349233,116.3304940374787,120.99488926746167,23.514500830307068,2.8436018960460863,0.9463925836475807
image,blue_object,67.7346093133386,93.99743488555643,130.18942383583268,101.50893544804633,3.895546009598202,0.9557755775638185
image,blue_object,52.23900586353945,69.68097014925372,73.676039445629,300.6010464097664,6.211909230470463,0.9761300812925345
image,blue_object,73.27597464951027,94.90647205684655,130.95352410217015,104.29302030072695,4.744656917952741,0.9099965047117368
image,dark_object,45.80557903634827,64.91546914623838,62.176669484361796,23.694765319781077,3.399999999917742,0.9494382022663764
image,dark_object,34.93598954931417,55.14173742651862,67.41998693664272,30.664992140522287,4.561671763487595,0.9476942123000015
image,dark_object,37.55872756933116,62.817737998372664,67.45728234336859,24.616117139958146,1.3333333332770887,0.7139122857936143
image,other,106.34867617107943,124.66395112016293,131.3910386965377,49.17214611743927,1.6428571428403556,0.946597262399097
image,other,156.3036303630363,166.36303630363037,176.33003300330034,6.06890438869355,2.92000000116411,0.9237804877950146
image,dark_object,36.997378538972384,61.53285564487941,52.379238028661305,116.25056459190223,3.023584906079042,0.968624833112874
