area_m2,size_class
5.845324224651449e-10,<5m2
6.978417842916846e-10,<5m2
2.81115131166567e-09,<5m2
5.4118709508150775e-09,<5m2
2.762590156620976e-09,<5m2
3.6366909483116794e-09,<5m2
6.151079645633217e-09,<5m2
5.115108336894991e-09,<5m2
1.3021583811223536e-09,<5m2
